,Pathway total,Hits.total,Hits.sig,Expected,P(Fisher),P(EASE),P(Gamma),Emp.Hits,Empirical,AdjP.Fisher,AdjP.EASE,AdjP.Gamma,Pathway Number,cpd.hits
Aminosugars metabolism,69,11,7,1.8421,0.0080233,0.031386,0.0014196,0,0,0.1363961,0.533562,0.0241332,P1,EC0007;EC00012;EC00016;EC00017;EC00028
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,4,1,1,0.18421,0.18421,1,0.0025577,15,0.15,1,1,0.0409232,P2,EC0007
N-Glycan Degradation,7,1,1,0.18421,0.18421,1,0.0025577,13,0.13,1,1,0.0409232,P3,EC00012
Pyrimidine metabolism,69,8,2,2.0263,0.3198,0.57111,0.0041012,17,0.17,1,1,0.0574168,P4,EC0007;EC00013;EC00014
Blood Group Biosynthesis,11,2,1,0.36842,0.33855,1,0.0043852,19,0.19,1,1,0.0574168,P5,EC0007
Glycosphingolipid biosynthesis - globoseries,17,3,2,0.36842,0.33855,1,0.0043852,19,0.19,1,1,0.0574168,P6,EC0007
Glycosphingolipid biosynthesis - lactoseries,5,2,1,0.36842,0.33855,1,0.0043852,19,0.19,1,1,0.0574168,P7,EC0007
Glycosphingolipid biosynthesis - neolactoseries,11,2,1,0.36842,0.33855,1,0.0043852,19,0.19,1,1,0.0574168,P8,EC0007
Keratan sulfate degradation,14,2,1,0.36842,0.33855,1,0.0043852,22,0.22,1,1,0.0574168,P9,EC00012
N-Glycan biosynthesis,29,2,1,0.36842,0.33855,1,0.0043852,19,0.19,1,1,0.0574168,P10,EC0007
O-Glycan biosynthesis,10,3,1,0.36842,0.33855,1,0.0043852,19,0.19,1,1,0.0574168,P11,EC0007
Sialic acid metabolism,89,11,6,1.2895,0.38325,0.7333,0.0051541,23,0.23,1,1,0.0574168,P12,EC0007;EC00012
Glycosphingolipid metabolism,56,7,3,1.4737,0.46229,0.78492,0.0069106,29,0.29,1,1,0.0574168,P13,EC0007;EC00012
Keratan sulfate biosynthesis,6,3,1,0.55263,0.46716,1,0.0070392,25,0.25,1,1,0.0574168,P14,EC0007
Glycosphingolipid biosynthesis - ganglioseries,38,6,3,0.73684,0.57373,1,0.010673,36,0.36,1,1,0.0574168,P15,EC0007
Glycerophospholipid metabolism,146,6,2,2.0263,0.92963,1,0.068244,55,0.55,1,1,0.136488,P16,EC0007
Phosphatidylinositol phosphate metabolism,48,7,1,2.0263,0.92963,1,0.068244,52,0.52,1,1,0.136488,P17,EC0007
